plant,year,production_m2,V_gas_Nm3,E_el_kWh,Ex_fuel_MJ,Ex_el_MJ,Ex_ref_MJ,Ex_useful_MJ
D020,2022,3800000,3836190.5,11188888.9,161120000.0,40280000.0,201400000.0,30210000.0
D020,2023,3800000,3727619.0,10872222.2,156560000.0,39140000.0,195700000.0,30137800.0
D020,2024,3800000,3619047.6,10555555.6,152000000.0,38000000.0,190000000.0,30210000.0
D020,2025,3800000,3510476.2,10238888.9,147440000.0,36860000.0,184300000.0,30225200.0
D060,2022,6400000,6156190.5,17955555.6,258560000.0,64640000.0,323200000.0,51065600.0
D060,2023,6400000,5973333.3,17422222.2,250880000.0,62720000.0,313600000.0,51116800.0
D060,2024,6400000,5790476.2,16888888.9,243200000.0,60800000.0,304000000.0,51072000.0
D060,2025,6400000,5607619.0,16355555.6,235520000.0,58880000.0,294400000.0,50931200.0
D240,2022,5100000,4760000.0,13883333.3,199920000.0,49980000.0,249900000.0,40733700.0
D240,2023,5100000,4614285.7,13458333.3,193800000.0,48450000.0,242250000.0,40698000.0
D240,2024,5100000,4488000.0,13090000.0,188496000.0,47124000.0,235620000.0,40526640.0
D240,2025,5100000,4371428.6,12750000.0,183600000.0,45900000.0,229500000.0,40392000.0
