plant,scenario,module,term,value_MJ,kind,confidence,note
D020,ref2017,TEI-J,loss_MTS,62700000.0,cost,C,DIMOSTRATIVO
D020,ref2017,TEI-J,loss_MTO,54340000.0,cost,C,DIMOSTRATIVO
D020,ref2017,TEI-J,inv,6270000.0,cost,C,DIMOSTRATIVO
D020,ref2017,TEI-J,qual_MTS,2090000.0,cost,C,DIMOSTRATIVO
D020,ref2017,TEI-J,qual_MTO,1672000.0,cost,C,DIMOSTRATIVO
D020,ref2017,EFA-J,RI,250800000.0,cost,C,DIMOSTRATIVO
D020,ref2017,EFA-J,IEQ,41800000.0,cost,C,DIMOSTRATIVO
D020,ref2017,EFA-J,WEX,16720000.0,cost,C,DIMOSTRATIVO
D020,ref2017,EFA-J,CIRC,12540000.0,benefit,C,DIMOSTRATIVO
D020,ref2017,EcoFA-J,VA,167200000.0,benefit,C,DIMOSTRATIVO
D020,ref2017,EcoFA-J,econ_in,52250000.0,cost,C,DIMOSTRATIVO
D020,ref2017,EcoFA-J,INV,25080000.0,cost,C,DIMOSTRATIVO
D020,ref2017,SFA-J,SV,73150000.0,benefit,C,DIMOSTRATIVO
D020,ref2017,SFA-J,train,4180000.0,benefit,C,DIMOSTRATIVO
D020,ref2017,SFA-J,lost,6270000.0,cost,C,DIMOSTRATIVO
D020,ref2017,SFA-J,CO2,31350000.0,cost,C,DIMOSTRATIVO
D020,historical,TEI-J,loss_MTS,56430000.0,cost,C,DIMOSTRATIVO
D020,historical,TEI-J,loss_MTO,48906000.0,cost,C,DIMOSTRATIVO
D020,historical,TEI-J,inv,5705700.0,cost,C,DIMOSTRATIVO
D020,historical,TEI-J,qual_MTS,1922800.0,cost,C,DIMOSTRATIVO
D020,historical,TEI-J,qual_MTO,1538240.0,cost,C,DIMOSTRATIVO
D020,historical,EFA-J,RI,248292000.0,cost,C,DIMOSTRATIVO
D020,historical,EFA-J,IEQ,39710000.0,cost,C,DIMOSTRATIVO
D020,historical,EFA-J,WEX,15048000.0,cost,C,DIMOSTRATIVO
D020,historical,EFA-J,CIRC,14421000.0,benefit,C,DIMOSTRATIVO
D020,historical,EcoFA-J,VA,172216000.0,benefit,C,DIMOSTRATIVO
D020,historical,EcoFA-J,econ_in,49637500.0,cost,C,DIMOSTRATIVO
D020,historical,EcoFA-J,INV,23324400.0,cost,C,DIMOSTRATIVO
D020,historical,SFA-J,SV,75344500.0,benefit,C,DIMOSTRATIVO
D020,historical,SFA-J,train,4681600.0,benefit,C,DIMOSTRATIVO
D020,historical,SFA-J,lost,5643000.0,cost,C,DIMOSTRATIVO
D020,historical,SFA-J,CO2,28842000.0,cost,C,DIMOSTRATIVO
D020,realtime,TEI-J,loss_MTS,50160000.0,cost,C,DIMOSTRATIVO
D020,realtime,TEI-J,loss_MTO,43472000.0,cost,C,DIMOSTRATIVO
D020,realtime,TEI-J,inv,5141400.0,cost,C,DIMOSTRATIVO
