product_type_id,dimension,metric_code,value,unit,source_table
T1,IOA,SCR_RAW,40.0,days,Tabella 3
T1,IOA,SCR_FINISHED,29.7,days,Tabella 3
T1,IOA,SCR_GLAZE,22.9,days,Tabella 3
T2,IOA,SCR_RAW,46.0,days,Tabella 3
T2,IOA,SCR_FINISHED,33.8,days,Tabella 3
T2,IOA,SCR_GLAZE,26.0,days,Tabella 3
T3,IOA,SCR_RAW,83.9,days,Tabella 3
T3,IOA,SCR_FINISHED,57.8,days,Tabella 3
T3,IOA,SCR_GLAZE,33.3,days,Tabella 3
T1,OP,PSI_ENERGY,22.49,m2/GJ,Tabella 4
T1,OP,PSI_MATERIAL,0.962,m2/m2,Tabella 4
T1,OP,PSI_THROUGHPUT,640,m2/h,Tabella 4
T2,OP,PSI_ENERGY,19.41,m2/GJ,Tabella 4
T2,OP,PSI_MATERIAL,0.955,m2/m2,Tabella 4
T2,OP,PSI_THROUGHPUT,560,m2/h,Tabella 4
T3,OP,PSI_ENERGY,7.34,m2/GJ,Tabella 4
T3,OP,PSI_MATERIAL,0.941,m2/m2,Tabella 4
T3,OP,PSI_THROUGHPUT,210,m2/h,Tabella 4
T1,TQ,OCR_FLEXURAL,1.371,ratio,Tabella 5
T1,TQ,OCR_BREAKING,2.000,ratio,Tabella 5
T1,TQ,OCR_SURFACE,1.027,ratio,Tabella 5
T2,TQ,OCR_FLEXURAL,1.429,ratio,Tabella 5
T2,TQ,OCR_BREAKING,1.577,ratio,Tabella 5
T2,TQ,OCR_SURFACE,1.022,ratio,Tabella 5
T3,TQ,OCR_FLEXURAL,1.514,ratio,Tabella 5
T3,TQ,OCR_BREAKING,5.538,ratio,Tabella 5
T3,TQ,OCR_SURFACE,1.015,ratio,Tabella 5
